group_id,account_id,contact_id,role,is_primary,added_at
BG-PENANG-01,001om06Dwt0Y3oobQm,003tQLxEJHwBVJvwSD,champion,True,20/07/2026
BG-PENANG-01,001om06Dwt0Y3oobQm,003uhVI8WSlmnVErUL,economic_buyer,False,21/07/2026
BG-PENANG-01,001om06Dwt0Y3oobQm,003oxltaTIircdJsS8,user,False,Jul 22 2026
BG-PENANG-01,001om06Dwt0Y3oobQm,003KsEECvl9dq83Eh0,influencer,False,23/07/2026
BG-ZENITH-01,001BxXdFCOmhaNf0ez,003WvWycNQaJpGJsjr,champion,True,24/07/2026
BG-ZENITH-01,001BxXdFCOmhaNf0ez,003VfCyg8Ht0V7Fj77,user,False,2026-07-25
BG-8538555D,001KRbHQQpMxQhnrct,003blM0OJ6mHvqPbbV,champion,True,2026-08-08
BG-8538555D,001KRbHQQpMxQhnrct,003GPkL8LjkQNU5Mv1,economic_buyer,False,2026-08-08
BG-E3BF849A,001emnneWwt2WsopvX,003EHGL4D4Vo3txzQT,champion,True,2026-08-08
BG-E3BF849A,001emnneWwt2WsopvX,003cWPmsw3Xd3PvrhZ,user,False,2026-08-08
BG-505B551A,0017Sqr0O072IojSHD,003hj8MRa5GGQVGTED,champion,True,2026-08-08
BG-505B551A,0017Sqr0O072IojSHD,003BdQsRYOo6hA2DJ5,influencer,False,2026-08-08
BG-505B551A,0017Sqr0O072IojSHD,0037KB0UzFbyRBlwn6,economic_buyer,False,2026-08-08
BG-3482E0B1,001DqPOAEhtUaG5zpX,003foruN2bI7irZa7S,champion,True,2026-08-08
BG-3482E0B1,001DqPOAEhtUaG5zpX,003NbW3VTYMpvA4aBs,influencer,False,2026-08-08
BG-1A89FF1A,001QHFjSNhc5jCeo0R,003mk7P8B7O8Tk4M38,champion,True,2026-08-08
BG-1A89FF1A,001QHFjSNhc5jCeo0R,00339p4BY9ZPVCzAqd,user,False,2026-08-08
BG-1A89FF1A,001QHFjSNhc5jCeo0R,003RpNTfclJb0OUUe8,user,False,2026-08-08
BG-1A89FF1A,001QHFjSNhc5jCeo0R,003oOBGVzbrYIzgfgJ,user,False,2026-08-08
BG-D9674524,001qq3TNBjJ3KzyUi2,003jOff2KR4ea8nKPy,champion,True,2026-08-08
BG-D9674524,001qq3TNBjJ3KzyUi2,003U9ntar9qHDO0O2g,influencer,False,2026-08-08
